Title	Year	Rating	Runtime	Tomato Meter	Box Office
Left Behind	2014	PG-13	110 min	2	$14.0M
"Like Sunday, Like Rain"	2014	R	104 min	53	$27.6k
Dead Snow 2: Red vs. Dead	2014	R	100 min	85	$32.1k
The Hero of Color City	2014	G	77 min	25	$32.0k
Kill the Messenger	2014	R	112 min	77	$2.4M
Addicted	2014	R	106 min	8	$17.4M
The Judge	2014	R	141 min	47	$47.1M
Camp X-Ray	2014	R	117 min	73	$9.8k
A Matter of Faith	2014	PG	89 min	0	$0.5M
Fury	2014	R	134 min	77	$85.8M
The Best of Me	2014	PG-13	118 min	8	$26.8M
The Sisterhood of Night	2014	PG-13	104 min	79	$5.3k
V/H/S: Viral	2014	R	81 min	36	$2.6k
The Principle	2014	PG	90 min	0	$86.2k
23 Blast	2014	PG-13	98 min	38	$0.5M
St. Vincent	2014	PG-13	102 min	77	$44.1M
Before I Go to Sleep	2014	R	92 min	36	$3.2M
The Overnighters	2014	PG-13	102 min	98	$0.1M
Life Partners	2014	R	93 min	62	$7.6k
Big Hero 6	2014	PG	102 min	89	$222.5M
Magician: The Astonishing Life and Work of Orson Welles	2014	PG-13	91 min	73	$15.5k
Love Is Strange	2014	R	94 min	94	$2.3M
Dumb and Dumber To	2014	PG-13	109 min	29	$86.2M
The Good Lie	2014	PG-13	110 min	88	$2.7M
Beyond the Lights	2014	PG-13	116 min	81	$14.6M
Birdman: Or (The Unexpected Virtue of Ignorance)	2014	R	119 min	92	$42.3M
Saving Christmas	2014	PG	80 min	0	$2.8M
The Hunger Games: Mockingjay - Part 1	2014	PG-13	123 min	65	$337.1M
My Old Lady	2014	PG-13	107 min	59	$4.0M
Penguins of Madagascar	2014	PG	92 min	72	$83.3M
The Green Prince	2014	PG-13	101 min	78	$0.3M
The One I Wrote for You	2014	PG	110 min	0	$48.6k
Exodus: Gods and Kings	2014	PG-13	150 min	27	$65.0M
Merchants of Doubt	2014	PG-13	96 min	85	$0.2M
Annie	2014	PG	118 min	27	$85.9M
Night at the Museum: Secret of the Tomb	2014	PG	98 min	50	$113.7M
Wild	2014	R	115 min	90	$37.9M
Into the Woods	2014	PG	125 min	71	$128.0M
The Imitation Game	2014	PG-13	114 min	89	$91.1M
The Water Diviner	2014	R	111 min	62	$4.2M
The Woman in Black 2: Angel of Death	2014	PG-13	98 min	21	$26.5M
Match	2014	R	90 min	76	$30.5k
Dear White People	2014	R	108 min	92	$4.4M
American Sniper	2014	R	132 min	73	$350.1M
Song One	2014	PG-13	86 min	36	$20.2k
Low Down	2014	R	114 min	51	$49.0k
Red Army	2014	PG	76 min	96	$0.7M
A Most Violent Year	2014	R	125 min	90	$5.7M
Black or White	2014	PG-13	121 min	39	$21.6M
5 to 7	2014	R	95 min	67	$0.1M
Christian Mingle	2014	PG	103 min	0	$19.8k
What We Do in the Shadows	2014	R	86 min	96	$3.3M
Still Alice	2014	PG-13	101 min	89	$18.7M
Rudderless	2014	R	105 min	63	$56.0k
Citizenfour	2014	R	114 min	98	$2.8M
Serena	2014	R	109 min	18	$0.2M
Maps to the Stars	2014	R	111 min	61	$0.3M
Keep on Keepin' On	2014	R	84 min	97	$0.2M
Zombeavers	2014	R	85 min	66	$14.9k
While We're Young	2014	R	97 min	84	$7.5M
Lambert & Stamp	2014	R	117 min	86	$33.3k
Kill Me Three Times	2014	R	90 min	9	$23.8k
Clouds of Sils Maria	2014	R	124 min	89	$1.8M
Beyond the Reach	2014	R	91 min	34	$44.6k
Unfriended	2014	R	83 min	61	$32.4M
Skin Trade	2014	R	96 min	20	$1.2k
Adult Beginners	2014	R	92 min	44	$0.1M
Welcome to Me	2014	R	87 min	70	$0.3M
The Seven Five	2014	R	104 min	78	$29.6k
Good Kill	2014	R	102 min	75	$0.3M
Every Secret Thing	2014	R	93 min	26	$97.0k
Sunshine Superman	2014	PG	100 min	89	$55.7k
Heaven Knows What	2014	R	94 min	86	$70.2k
Infinitely Polar Bear	2014	R	90 min	81	$0.4M
Love & Mercy	2014	PG-13	121 min	89	$7.2M
Blackhat	2015	R	133 min	34	$7.8M
Strange Magic	2015	PG	99 min	18	$12.4M
The Hunting Ground	2015	PG-13	90 min	92	$0.4M
Americons	2015	R	88 min	14	$14.4k
Jupiter Ascending	2015	PG-13	127 min	25	$47.4M
"McFarland, USA"	2015	PG	129 min	79	$44.5M
Hot Tub Time Machine 2	2015	R	93 min	14	$12.3M
The DUFF	2015	PG-13	101 min	72	$34.0M
Focus	2015	R	105 min	56	$53.8M
Chappie	2015	R	120 min	31	$31.6M
Unfinished Business	2015	R	91 min	11	$10.2M
Hayride 2	2015	R	92 min	0	$1.7k
The Second Best Exotic Marigold Hotel	2015	PG	122 min	62	$33.1M
David and Goliath	2015	PG	92 min	0	$0.2M
Cinderella	2015	PG	105 min	85	$200.6M
Insurgent	2015	PG-13	119 min	30	$130.0M
Do You Believe?	2015	PG-13	120 min	18	$13.0M
Home	2015	PG	94 min	46	$171.9M
Get Hard	2015	R	100 min	29	$90.2M
Beyond the Mask	2015	PG	103 min	22	$1.0M
Freetown	2015	PG-13	113 min	38	$7.9M
Danny Collins	2015	R	106 min	78	$5.6M
Woman in Gold	2015	PG-13	109 min	53	$33.0M
Paul Blart: Mall Cop 2	2015	PG	94 min	6	$68.4M
Child 44	2015	R	137 min	24	$1.2M
Monkey Kingdom	2015	G	81 min	94	$16.3M
True Story	2015	R	99 min	48	$6.6M
The Age of Adaline	2015	PG-13	112 min	54	$42.6M
Little Boy	2015	PG-13	106 min	18	$6.4M
Barely Lethal	2015	PG-13	96 min	16	$4.9k
Avengers: Age of Ultron	2015	PG-13	141 min	74	$454.2M
Hot Pursuit	2015	PG-13	87 min	7	$33.4M
Maggie	2015	PG-13	95 min	51	$0.2M
The D Train	2015	R	101 min	43	$0.7M
Mad Max: Fury Road	2015	R	120 min	98	$149.0M
Pitch Perfect 2	2015	PG-13	115 min	66	$160.9M
Poltergeist	2015	PG-13	93 min	31	$46.1M
Tomorrowland	2015	PG	130 min	50	$91.0M
Far from the Madding Crowd	2015	PG-13	119 min	85	$9.9M
Aloha	2015	PG-13	105 min	20	$19.0M
Insidious: Chapter 3	2015	PG-13	97 min	58	$22.7M
Me and Earl and the Dying Girl	2015	PG-13	105 min	82	$1.9M
Jurassic World	2015	PG-13	124 min	71	$556.5M
The Overnight	2015	R	79 min	81	$0.6M
Dope	2015	R	103 min	89	$11.7M
Ted 2	2015	R	115 min	46	$58.5M
L.A. Slasher	2015	R	86 min	0	$2.4k
Magic Mike XXL	2015	R	115 min	64	$27.9M
NA Movie 1		G	100 min	64	$12.3M
NA Movie 2		PG	110 min	64	$23.4M
NA Movie 3	2015	PG-13	120 min		$34.5M
NA Movie 4	2015	R	130 min		$45.6M
